Body,X(km),Y(km),Z(km),VX(km/s),VY(km/s),VZ(km/s),Mass(kg)
Sol,-1.068000648301820E+06,-4.176802125684930E+05,3.084467020687090E+04,9.305300847631915E-03,-1.283176670344807E-02,-1.631528028381386E-04
Mercury,-2.212062175862221E+07,-6.682431829610253E+07,-3.461601353176080E+06,3.666229236478603E+01,-1.230266986781422E+01,-4.368336051784789E+00,0.33E24
Venus,-1.085735509178141E+08,-3.784200933160055E+06,6.190064472977990E+06,8.984651054838754E-01,-3.517203950794635E+01,-5.320225582712421E-01,4.87E24
Earth,-2.627892928682480E+07,1.445102393586391E+08,3.022818135935813E+04,-2.983052803283506E+01,-5.220465685407924E+00,-1.014621798034465E-04,5.97E24
Mars,2.069270543147017E+08,-3.560689745239088E+06,-5.147936537447235E+06,1.304308833322233E+00,2.628158890420931E+01,5.188465740839767E-01,0.642E24
Jupiter,5.978411588543636E+08,4.387049129308410E+08,-1.520170148446965E+07,-7.892632330758821E+00,1.115034520921672E+01,1.305097532924950E-01,1898E24
Saturn,9.576383363062742E+08,9.821475305205020E+08,-5.518981313640279E+07,-7.419580380567519E+00,6.725982472131615E+00,1.775012122796475E-01,568E24
Uranus,2.157706702828831E+09,-2.055242911807622E+09,-3.559264256520975E+07,4.646953712646178E+00,4.614361110490073E+00,-4.301340943493193E-02,86.8E24
Neptune,2.513785419503203E+09,-3.739265092576820E+09,1.907031792232442E+07,4.475105284920682E+00,3.062849397248741E+00,-1.667285646337855E-01,102E24
Pluto,-1.478626340724678E+09,-4.182878118662979E+09,8.753002592760717E+08,5.271230989790396E+00,-2.661751411789654E+00,-1.242036206632027E+00,0.0146E24
